DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22995263,0.1386,-0.6876,-0.1116,-0.7039,-0.0063,-0.0119,-0.1114,0
22995429,0.1386,-0.6876,-0.1116,-0.7039,-0.0079,-0.0102,-0.1093,0
22995596,0.1386,-0.6876,-0.1115,-0.7040,-0.0028,-0.0091,-0.1098,0
22995763,0.1385,-0.6876,-0.1115,-0.7039,0.0389,-0.0000,-0.1116,0
22995929,0.1385,-0.6876,-0.1115,-0.7040,-0.0202,-0.0005,-0.1193,0
22996096,0.1383,-0.6877,-0.1114,-0.7040,0.0233,0.0137,-0.0972,0
22996263,0.1383,-0.6876,-0.1114,-0.7040,-0.0128,-0.0200,-0.1018,0
22996429,0.1383,-0.6876,-0.1114,-0.7040,0.0235,0.0100,-0.1135,0
22996596,0.1383,-0.6876,-0.1114,-0.7040,-0.0238,-0.0115,-0.1008,0
22996763,0.1382,-0.6876,-0.1114,-0.7040,0.0103,0.0039,-0.0951,0
22996929,0.1382,-0.6876,-0.1113,-0.7040,-0.0155,-0.0127,-0.1117,0
22997096,0.1382,-0.6877,-0.1113,-0.7040,0.0136,-0.0012,-0.1197,0
22997263,0.1382,-0.6877,-0.1113,-0.7040,-0.0299,-0.0159,-0.1093,0
22997429,0.1382,-0.6877,-0.1113,-0.7040,-0.0059,-0.0099,-0.1171,0
22997596,0.1381,-0.6877,-0.1113,-0.7040,0.0054,0.0136,-0.1015,0
22997763,0.1381,-0.6877,-0.1113,-0.7040,0.0186,0.0052,-0.1092,0
22997929,0.1381,-0.6877,-0.1113,-0.7040,-0.0198,-0.0021,-0.1023,0
22998096,0.1381,-0.6877,-0.1113,-0.7040,0.0085,-0.0071,-0.1027,0
22998263,0.1380,-0.6877,-0.1112,-0.7040,-0.0105,-0.0078,-0.0980,0
22998429,0.1380,-0.6877,-0.1112,-0.7040,0.0018,-0.0086,-0.1093,0
22998596,0.1380,-0.6877,-0.1112,-0.7041,-0.0156,-0.0127,-0.1174,0
22998763,0.1379,-0.6877,-0.1112,-0.7041,0.0242,0.0057,-0.1072,0
22998929,0.1379,-0.6877,-0.1111,-0.7041,-0.0345,-0.0149,-0.0974,0
