DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.801,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
23000913,0.4837,0.5037,-0.5017,0.5106,0.0039,0.0013,-0.0520,0
23001246,0.4837,0.5037,-0.5017,0.5106,0.0158,-0.0021,-0.0560,0
23001413,0.4837,0.5037,-0.5017,0.5106,0.0135,0.0033,-0.0553,0
23001579,0.4837,0.5037,-0.5017,0.5106,-0.0007,-0.0074,-0.0649,0
23001746,0.4837,0.5037,-0.5017,0.5106,-0.0036,0.0157,-0.0525,0
23001913,0.4837,0.5037,-0.5017,0.5105,0.0089,0.0036,-0.0655,0
23002079,0.4836,0.5037,-0.5017,0.5106,-0.0096,-0.0053,-0.0514,0
23002246,0.4836,0.5037,-0.5017,0.5106,0.0095,-0.0127,-0.0539,0
23002413,0.4836,0.5037,-0.5017,0.5106,-0.0111,0.0194,-0.0675,0
23002579,0.4836,0.5037,-0.5017,0.5106,-0.0056,0.0101,-0.0643,0
23002746,0.4836,0.5038,-0.5016,0.5106,-0.0110,-0.0013,-0.0602,0
23002913,0.4836,0.5038,-0.5016,0.5106,0.0001,-0.0116,-0.0747,0
23003079,0.4836,0.5038,-0.5016,0.5106,0.0173,-0.0111,-0.0601,0
23003246,0.4836,0.5038,-0.5016,0.5106,-0.0002,-0.0167,-0.0524,0
23003413,0.4836,0.5038,-0.5016,0.5106,0.0047,0.0042,-0.0601,0
23003579,0.4836,0.5038,-0.5016,0.5106,-0.0082,0.0039,-0.0624,0
23003746,0.4836,0.5038,-0.5016,0.5106,0.0061,-0.0107,-0.0972,0
23003913,0.4836,0.5038,-0.5016,0.5106,-0.0064,-0.0129,-0.0396,0
23004079,0.4836,0.5038,-0.5016,0.5106,0.0203,-0.0060,-0.0463,0
23004246,0.4836,0.5038,-0.5016,0.5106,0.0018,-0.0122,-0.0603,0
23004413,0.4836,0.5038,-0.5016,0.5106,0.0037,0.0124,-0.0699,0
23004579,0.4836,0.5038,-0.5016,0.5106,0.0084,-0.0170,-0.0547,0
23004746,0.4836,0.5038,-0.5016,0.5106,0.0003,0.0155,-0.0428,0
23004913,0.4836,0.5038,-0.5016,0.5106,-0.0003,-0.0033,-0.0481,0
23005079,0.4836,0.5038,-0.5016,0.5106,0.0047,-0.0106,-0.0746,0
23005246,0.4836,0.5038,-0.5016,0.5106,0.0013,-0.0304,-0.0493,0
23005413,0.4836,0.5038,-0.5016,0.5106,-0.0071,-0.0134,-0.0288,0
23005579,0.4836,0.5038,-0.5016,0.5106,0.0019,0.0076,-0.0571,0
23005913,0.4836,0.5038,-0.5016,0.5106,-0.0140,-0.0028,-0.0360,0
